movieId,title,popularity,datasetpopularity
85,Angels and Insects (1995),4811,7.0
86,White Squall (1996),25243,15.0
87,Dunston Checks In (1996),13284,7.0
88,Black Sheep (1996),43213,16.0
89,Nick of Time (1995),44773,10.0
92,Mary Reilly (1996),15705,8.0
93,Vampire in Brooklyn (1995),24875,9.0
94,Beautiful Girls (1996),34461,10.0
95,Broken Arrow (1996),104243,84.0
96,In the Bleak Midwinter (1995),2744,1.0
97,"Hate (Haine, La) (1995)",191699,10.0
99,Heidi Fleiss: Hollywood Madam (1995),834,2.0
100,City Hall (1996),22189,14.0
101,Bottle Rocket (1996),82704,23.0
102,Mr. Wrong (1996),5331,5.0
103,Unforgettable (1996),5905,3.0
104,Happy Gilmore (1996),243364,99.0
105,"Bridges of Madison County, The (1995)",87564,23.0
106,Nobody Loves Me (Keiner liebt mich) (1994),1235,1.0
107,Muppet Treasure Island (1996),26208,26.0
108,Catwalk (1996),367,1.0
110,Braveheart (1995),1079632,237.0
111,Taxi Driver (1976),903167,104.0
112,Rumble in the Bronx (Hont faan kui) (1995),45457,46.0
113,Before and After (1996),9838,3.0
116,Anne Frank Remembered (1995),1282,5.0
117,"Young Poisoner's Handbook, The (1995)",3784,1.0
118,If Lucy Fell (1996),4294,2.0
119,"Steal Big, Steal Little (1995)",1076,2.0
121,"Boys of St. Vincent, The (1992)",1935,2.0
122,Boomerang (1992),31029,16.0
123,Chungking Express (Chung Hing sam lam) (1994),93181,4.0
125,Flirting With Disaster (1996),19796,12.0
126,"NeverEnding Story III, The (1994)",12311,7.0
128,Jupiter's Wife (1994),249,1.0
129,Pie in the Sky (1996),887,1.0
132,Jade (1995),14005,6.0
135,Down Periscope (1996),26371,31.0
137,Man of the Year (1995),345,1.0
140,Up Close and Personal (1996),15203,16.0
141,"Birdcage, The (1996)",98554,86.0
144,"Brothers McMullen, The (1995)",8139,12.0
145,Bad Boys (1995),282228,51.0
146,"Amazing Panda Adventure, The (1995)",4382,3.0
147,"Basketball Diaries, The (1995)",119311,15.0
148,"Awfully Big Adventure, An (1995)",2983,1.0
149,Amateur (1994),6955,1.0
150,Apollo 13 (1995),310954,201.0
151,Rob Roy (1995),45074,44.0
152,"Addiction, The (1995)",11309,2.0
153,Batman Forever (1995),264223,137.0
154,Beauty of the Day (Belle de jour) (1967),48210,12.0
155,Beyond Rangoon (1995),5415,6.0
156,Blue in the Face (1995),10007,3.0
157,Canadian Bacon (1995),17828,11.0
158,Casper (1995),145506,62.0
159,Clockers (1995),23290,14.0
160,Congo (1995),48177,57.0
161,Crimson Tide (1995),121501,103.0
162,Crumb (1994),21376,17.0
163,Desperado (1995),195415,66.0
164,Devil in a Blue Dress (1995),23106,14.0
165,Die Hard: With a Vengeance (1995),404551,144.0
166,"Doom Generation, The (1995)",17598,3.0
168,First Knight (1995),77699,54.0
169,Free Willy 2: The Adventure Home (1995),19396,10.0
170,Hackers (1995),73700,35.0
171,Jeffrey (1995),6679,6.0
172,Johnny Mnemonic (1995),75556,53.0
173,Judge Dredd (1995),123748,62.0
174,Jury Duty (1995),8671,10.0
175,Kids (1995),83630,20.0
176,Living in Oblivion (1995),19865,13.0
177,Lord of Illusions (1995),19022,8.0
178,Love & Human Remains (1993),2802,1.0
179,Mad Love (1995),6923,2.0
180,Mallrats (1995),127797,36.0
181,Mighty Morphin Power Rangers: The Movie (1995),29666,17.0
183,Mute Witness (1994),6271,2.0
184,Nadja (1994),3422,2.0
185,"Net, The (1995)",72938,112.0
186,Nine Months (1995),38325,48.0
187,Party Girl (1995),6376,4.0
188,"Prophecy, The (1995)",32968,12.0
189,Reckless (1995),515,1.0
190,Safe (1995),16791,5.0
191,"Scarlet Letter, The (1995)",16147,6.0
193,Showgirls (1995),73231,35.0
194,Smoke (1995),37822,18.0
195,Something to Talk About (1995),15685,10.0
196,Species (1995),84374,45.0
198,Strange Days (1995),77398,28.0
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",30629,4.0
201,Three Wishes (1995),3235,1.0
202,Total Eclipse (1995),16609,1.0
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",35796,22.0
204,Under Siege 2: Dark Territory (1995),49616,30.0
205,Unstrung Heroes (1995),3252,9.0
206,Unzipped (1995),1181,2.0
207,"Walk in the Clouds, A (1995)",36179,21.0
208,Waterworld (1995),207265,115.0
209,White Man's Burden (1995),5142,3.0
210,Wild Bill (1995),7725,4.0
211,"Browning Version, The (1994)",3541,2.0
212,Bushwhacked (1995),6803,3.0
213,Burnt by the Sun (Utomlyonnye solntsem) (1994),16171,6.0
214,Before the Rain (Pred dozhdot) (1994),15707,2.0
215,Before Sunrise (1995),333397,24.0
216,Billy Madison (1995),154379,49.0
217,"Babysitter, The (1995)",5940,6.0
218,Boys on the Side (1995),13952,14.0
219,"Cure, The (1995)",10513,1.0
220,Castle Freak (1995),10104,1.0
222,Circle of Friends (1995),9137,16.0
223,Clerks (1994),230566,104.0
224,Don Juan DeMarco (1995),52877,40.0
225,Disclosure (1994),53786,52.0
227,Drop Zone (1994),21396,22.0
228,Destiny Turns on the Radio (1995),2527,3.0
229,Death and the Maiden (1994),26425,7.0
230,Dolores Claiborne (1995),47663,24.0
231,Dumb & Dumber (Dumb and Dumber) (1994),406255,133.0
232,Eat Drink Man Woman (Yin shi nan nu) (1994),22859,14.0
233,Exotica (1994),20873,12.0
234,Exit to Eden (1994),7261,17.0
235,Ed Wood (1994),182635,70.0
236,French Kiss (1995),52452,45.0
237,Forget Paris (1995),12935,22.0
238,Far From Home: The Adventures of Yellow Dog (1995),3239,2.0
239,"Goofy Movie, A (1995)",61460,17.0
240,Hideaway (1995),7356,4.0
241,Fluke (1995),7359,1.0
242,Farinelli: il castrato (1994),7262,5.0
243,Gordy (1995),2068,1.0
246,Hoop Dreams (1994),27695,29.0
247,Heavenly Creatures (1994),66848,21.0
248,Houseguest (1994),7440,17.0
249,Immortal Beloved (1994),25994,18.0
250,Heavyweights (Heavy Weights) (1995),30230,6.0
251,"Hunted, The (1995)",5631,3.0
252,I.Q. (1994),26457,43.0
253,Interview with the Vampire: The Vampire Chronicles (1994),343114,109.0
254,Jefferson in Paris (1995),3172,1.0
255,"Jerky Boys, The (1995)",2772,7.0
256,Junior (1994),72306,35.0
257,Just Cause (1995),29130,14.0
258,"Kid in King Arthur's Court, A (1995)",6676,10.0
259,Kiss of Death (1995),20069,5.0
260,Star Wars: Episode IV - A New Hope (1977),1431031,251.0
261,Little Women (1994),62768,42.0
262,"Little Princess, A (1995)",36316,21.0
263,Ladybird Ladybird (1994),3774,1.0
265,Like Water for Chocolate (Como agua para chocolate) (1992),18682,33.0
266,Legends of the Fall (1994),179759,68.0
267,Major Payne (1995),38359,17.0
269,My Crazy Life (Mi vida loca) (1993),2376,2.0
270,Love Affair (1994),5052,5.0
271,Losing Isaiah (1995),6462,4.0
272,"Madness of King George, The (1994)",17986,31.0
273,Mary Shelley's Frankenstein (Frankenstein) (1994),58751,28.0
274,Man of the House (1995),10290,7.0
275,Mixed Nuts (1994),13406,6.0
276,Milk Money (1994),12941,22.0
277,Miracle on 34th Street (1994),43539,38.0
278,Miami Rhapsody (1995),3499,2.0
279,My Family (1995),4433,2.0
280,Murder in the First (1995),30203,13.0
281,Nobody's Fool (1994),22240,14.0
282,Nell (1994),30495,40.0
283,New Jersey Drive (1995),3412,3.0
284,New York Cop (Nyû Yôku no koppu) (1993),250,1.0
285,Beyond Bedlam (1993),538,1.0
287,Nina Takes a Lover (1994),726,1.0
288,Natural Born Killers (1994),248367,92.0
289,Only You (1994),25097,8.0
290,Once Were Warriors (1994),36406,14.0
291,Poison Ivy II (1996),6250,3.0
292,Outbreak (1995),136312,101.0
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),1226666,133.0
294,"Perez Family, The (1995)",2424,2.0
295,"Pyromaniac's Love Story, A (1995)",1112,1.0
296,Pulp Fiction (1994),2180928,307.0
298,Pushing Hands (Tui shou) (1992),4719,1.0
299,Priest (1994),10917,4.0
300,Quiz Show (1994),72630,81.0
301,Picture Bride (Bijo photo) (1994),1182,1.0
302,"Queen Margot (Reine Margot, La) (1994)",18767,5.0
303,"Quick and the Dead, The (1995)",101316,32.0
304,Roommates (1995),1979,3.0
305,Ready to Wear (Pret-A-Porter) (1994),15780,9.0
306,Three Colors: Red (Trois couleurs: Rouge) (1994),108755,16.0
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),109039,24.0
308,Three Colors: White (Trzy kolory: Bialy) (1994),78522,20.0
310,Rent-a-Kid (1995),2141,1.0
311,Relative Fear (1994),371,1.0
312,Stuart Saves His Family (1995),2953,9.0
313,"Swan Princess, The (1994)",26783,3.0
314,"Secret of Roan Inish, The (1994)",9745,16.0
315,"Specialist, The (1994)",69198,38.0
316,Stargate (1994),202429,140.0
317,"Santa Clause, The (1994)",132476,81.0
318,"Shawshank Redemption, The (1994)",2842246,317.0
319,Shallow Grave (1994),65444,20.0
320,Suture (1993),2139,1.0
321,Strawberry and Chocolate (Fresa y chocolate) (1993),5964,2.0
322,Swimming with Sharks (1995),24892,10.0
324,"Sum of Us, The (1994)",5778,1.0
325,National Lampoon's Senior Trip (1995),6256,7.0
326,To Live (Huozhe) (1994),20126,3.0
327,Tank Girl (1995),34246,34.0
328,Tales from the Crypt Presents: Demon Knight (1995),26009,10.0
329,Star Trek: Generations (1994),86255,108.0
330,Tales from the Hood (1995),9409,6.0
331,Tom & Viv (1994),1823,2.0
332,Village of the Damned (1995),33895,12.0
333,Tommy Boy (1995),95739,50.0
334,Vanya on 42nd Street (1994),5099,5.0
335,Underneath (1995),3805,2.0
336,"Walking Dead, The (1995)",869,1.0
337,What's Eating Gilbert Grape (1993),251028,77.0
338,Virtuosity (1995),32003,19.0
339,While You Were Sleeping (1995),112380,98.0
340,"War, The (1994)",13420,5.0
341,Double Happiness (1994),1230,2.0
342,Muriel's Wedding (1994),41305,33.0
343,"Baby-Sitters Club, The (1995)",6124,5.0
344,Ace Ventura: Pet Detective (1994),320614,161.0
345,"Adventures of Priscilla, Queen of the Desert, The (1994)",54085,36.0
346,Backbeat (1993),6495,6.0
347,Bitter Moon (1992),42007,6.0
348,Bullets Over Broadway (1994),41289,30.0
349,Clear and Present Danger (1994),106623,110.0
350,"Client, The (1994)",72701,57.0
351,"Corrina, Corrina (1994)",14029,17.0
352,Crooklyn (1994),11150,2.0
353,"Crow, The (1994)",196128,64.0
354,Cobb (1994),8054,6.0
355,"Flintstones, The (1994)",85025,42.0
356,Forrest Gump (1994),2215836,329.0
357,Four Weddings and a Funeral (1994),163467,103.0
358,Higher Learning (1995),21284,9.0
359,I Like It Like That (1994),1812,1.0
360,I Love Trouble (1994),12490,8.0
361,It Could Happen to You (1994),43283,17.0
362,"Jungle Book, The (1994)",18747,34.0
363,"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",3031,2.0
364,"Lion King, The (1994)",1123681,172.0
365,Little Buddha (1993),17766,4.0
366,"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",63377,12.0
367,"Mask, The (1994)",413132,157.0
368,Maverick (1994),117611,74.0
369,Mrs. Parker and the Vicious Circle (1994),4841,2.0
370,Naked Gun 33 1/3: The Final Insult (1994),110363,58.0
371,"Paper, The (1994)",14942,21.0
372,Reality Bites (1994),53043,21.0
373,Red Rock West (1992),24567,11.0
374,Richie Rich (1994),72868,25.0
376,"River Wild, The (1994)",49630,40.0
377,Speed (1994),386609,171.0
378,Speechless (1994),5380,7.0
379,Timecop (1994),63301,21.0
380,True Lies (1994),276944,178.0
381,When a Man Loves a Woman (1994),23335,11.0
382,Wolf (1994),59652,16.0
383,Wyatt Earp (1994),54238,21.0
384,Bad Company (1995),3316,2.0
385,"Man of No Importance, A (1994)",1173,1.0
386,S.F.W. (1994),5378,1.0
387,"Low Down Dirty Shame, A (1994)",7711,4.0
388,Boys Life (1995),533,2.0
389,"Colonel Chabert, Le (1994)",2057,2.0
390,Faster Pussycat! Kill! Kill! (1965),15960,5.0
391,Jason's Lyric (1994),4591,1.0
393,Street Fighter (1994),74596,10.0
405,Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),21934,12.0
406,Federal Hill (1994),491,1.0
407,In the Mouth of Madness (1995),78015,8.0
408,8 Seconds (1994),5661,2.0
409,Above the Rim (1994),16881,1.0
410,Addams Family Values (1993),107968,84.0
412,"Age of Innocence, The (1993)",66517,15.0
413,Airheads (1994),55584,26.0
414,"Air Up There, The (1994)",9418,6.0
415,Another Stakeout (1993),15261,16.0
416,Bad Girls (1994),13370,8.0
417,Barcelona (1994),6571,13.0
418,Being Human (1993),4233,2.0
419,"Beverly Hillbillies, The (1993)",19616,20.0
420,Beverly Hills Cop III (1994),86139,59.0
421,Black Beauty (1994),10553,12.0
422,Blink (1994),9019,5.0
423,Blown Away (1994),33305,10.0
424,Blue Chips (1994),14927,3.0
425,Blue Sky (1994),8053,2.0
426,Body Snatchers (1993),20996,7.0
427,Boxing Helena (1993),12978,12.0
428,"Bronx Tale, A (1993)",157285,18.0
429,Cabin Boy (1994),9068,6.0
430,Calendar Girl (1993),2445,2.0
431,Carlito's Way (1993),229839,42.0
432,City Slickers II: The Legend of Curly's Gold (1994),20592,55.0
433,Clean Slate (1994),4134,8.0
434,Cliffhanger (1993),138302,101.0
435,Coneheads (1993),57397,63.0
436,Color of Night (1994),25515,7.0
437,Cops and Robbersons (1994),7395,9.0
438,"Cowboy Way, The (1994)",8915,7.0
440,Dave (1993),56348,76.0
441,Dazed and Confused (1993),196642,42.0
442,Demolition Man (1993),190310,81.0
444,Even Cowgirls Get the Blues (1993),7766,6.0
445,Fatal Instinct (1993),7997,12.0
446,Farewell My Concubine (Ba wang bie ji) (1993),32364,9.0
448,Fearless (1993),24224,8.0
449,Fear of a Black Hat (1994),4510,1.0
450,With Honors (1994),15711,7.0
451,Flesh and Bone (1993),6216,1.0
452,Widows' Peak (1994),1857,3.0
453,For Love or Money (1993),15252,5.0
454,"Firm, The (1993)",145722,101.0
455,Free Willy (1993),81887,37.0
456,Fresh (1994),14369,4.0
457,"Fugitive, The (1993)",313806,190.0
458,Geronimo: An American Legend (1993),13220,5.0
459,"Getaway, The (1994)",19380,6.0
460,Getting Even with Dad (1994),8595,3.0
461,Go Fish (1994),2311,4.0
464,Hard Target (1993),55439,10.0
466,Hot Shots! Part Deux (1993),96147,60.0
467,Live Nude Girls (1995),1985,1.0
468,"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",18562,22.0
469,"House of the Spirits, The (1993)",24634,5.0
470,House Party 3 (1994),5581,1.0
471,"Hudsucker Proxy, The (1994)",84294,40.0
472,I'll Do Anything (1994),2833,6.0
473,In the Army Now (1994),14531,7.0
474,In the Line of Fire (1993),112066,70.0
475,In the Name of the Father (1993),184852,25.0
476,"Inkwell, The (1994)",1558,1.0
477,What's Love Got to Do with It? (1993),24244,17.0
478,Jimmy Hollywood (1994),3606,1.0
479,Judgment Night (1993),18424,4.0
480,Jurassic Park (1993),1050137,238.0
481,Kalifornia (1993),57180,19.0
482,Killing Zoe (1994),21288,8.0
484,Lassie (1994),6609,2.0
485,Last Action Hero (1993),161653,53.0
486,Life with Mikey (1993),6487,3.0
487,Lightning Jack (1994),7164,4.0
488,M. Butterfly (1993),10801,1.0
489,Made in America (1993),17637,11.0
490,Malice (1993),26928,12.0
491,"Man Without a Face, The (1993)",30740,17.0
492,Manhattan Murder Mystery (1993),46338,14.0
493,Menace II Society (1993),63523,12.0
494,Executive Decision (1996),60941,41.0
495,In the Realm of the Senses (Ai no corrida) (1976),22426,1.0
496,What Happened Was... (1994),2202,1.0
497,Much Ado About Nothing (1993),51229,43.0
499,Mr. Wonderful (1993),3512,2.0
500,Mrs. Doubtfire (1993),286638,144.0
501,Naked (1993),43081,6.0
502,"Next Karate Kid, The (1994)",33342,15.0
504,No Escape (1994),22320,2.0
505,North (1994),14615,7.0
506,Orlando (1992),18343,2.0
507,"Perfect World, A (1993)",85820,13.0
508,Philadelphia (1993),255115,66.0
509,"Piano, The (1993)",93968,61.0
510,Poetic Justice (1993),16329,1.0
511,"Program, The (1993)",11447,2.0
512,"Puppet Masters, The (1994)",9606,4.0
513,Radioland Murders (1994),3876,4.0
514,"Ref, The (1994)",26362,18.0
515,"Remains of the Day, The (1993)",82577,24.0
516,Renaissance Man (1994),18854,18.0
517,Rising Sun (1993),47891,9.0
518,"Road to Wellville, The (1994)",13076,4.0
519,RoboCop 3 (1993),53580,21.0
520,Robin Hood: Men in Tights (1993),134696,69.0
521,Romeo Is Bleeding (1993),14956,3.0
522,Romper Stomper (1992),41280,7.0
523,Ruby in Paradise (1993),3224,4.0
524,Rudy (1993),68045,34.0
526,"Savage Nights (Nuits fauves, Les) (1992)",2391,1.0
527,Schindler's List (1993),1427853,220.0
528,"Scout, The (1994)",6868,3.0
529,Searching for Bobby Fischer (1993),41990,40.0
531,"Secret Garden, The (1993)",43934,24.0
532,Serial Mom (1994),32143,16.0
533,"Shadow, The (1994)",26809,18.0
534,Shadowlands (1993),20232,14.0
535,Short Cuts (1993),46982,15.0
536,"Simple Twist of Fate, A (1994)",5990,3.0
537,Sirens (1994),11412,12.0
538,Six Degrees of Separation (1993),22295,12.0
539,Sleepless in Seattle (1993),188396,106.0
540,Sliver (1993),33517,18.0
541,Blade Runner (1982),811678,124.0
542,Son in Law (1993),22140,14.0
543,So I Married an Axe Murderer (1993),42329,41.0
544,Striking Distance (1993),44992,8.0
546,Super Mario Bros. (1993),62246,21.0
547,Surviving the Game (1994),12893,2.0
548,Terminal Velocity (1994),14481,6.0
549,Thirty-Two Short Films About Glenn Gould (1993),3892,2.0
550,Threesome (1994),13558,5.0
551,"Nightmare Before Christmas, The (1993)",371205,93.0
552,"Three Musketeers, The (1993)",58528,61.0
553,Tombstone (1993),162746,65.0
555,True Romance (1993),239439,65.0
556,"War Room, The (1993)",4392,6.0
558,"Pagemaster, The (1994)",25223,8.0
562,Welcome to the Dollhouse (1995),36729,23.0
563,Germinal (1993),5672,1.0
564,Chasers (1994),7095,2.0
567,Kika (1993),14884,3.0
568,Bhaji on the Beach (1993),1225,2.0
569,Little Big League (1994),11425,6.0
573,"Ciao, Professore! (Io speriamo che me la cavo) (1992)",2255,1.0
574,Spanking the Monkey (1994),6690,4.0
575,"Little Rascals, The (1994)",55216,16.0
577,Andre (1994),7174,4.0
579,"Escort, The (Scorta, La) (1993)",946,1.0
580,Princess Caraboo (1994),2943,5.0
581,"Celluloid Closet, The (1995)",7430,4.0
583,Dear Diary (Caro Diario) (1994),8935,1.0
585,"Brady Bunch Movie, The (1995)",24071,36.0
586,Home Alone (1990),643566,116.0
587,Ghost (1990),232336,115.0
588,Aladdin (1992),457692,183.0
589,Terminator 2: Judgment Day (1991),1157686,224.0
590,Dances with Wolves (1990),286170,164.0
592,Batman (1989),399546,189.0
593,"Silence of the Lambs, The (1991)",1521382,279.0
594,Snow White and the Seven Dwarfs (1937),212790,77.0
595,Beauty and the Beast (1991),475053,146.0
596,Pinocchio (1940),157553,60.0
597,Pretty Woman (1990),352379,135.0
599,"Wild Bunch, The (1969)",89465,11.0
600,Love and a .45 (1994),4811,1.0
602,"Great Day in Harlem, A (1994)",488,1.0
605,One Fine Day (1996),48166,10.0
606,Candyman: Farewell to the Flesh (1995),14205,4.0
608,Fargo (1996),714461,181.0
609,Homeward Bound II: Lost in San Francisco (1996),16052,14.0
610,Heavy Metal (1981),37630,33.0
611,Hellraiser: Bloodline (1996),24186,6.0
612,"Pallbearer, The (1996)",11548,6.0
613,Jane Eyre (1996),10077,8.0
615,Bread and Chocolate (Pane e cioccolata) (1973),1951,1.0
616,"Aristocats, The (1970)",112890,45.0
617,"Flower of My Secret, The (La flor de mi secreto) (1995)",12608,3.0
618,Two Much (1995),5958,1.0
619,Ed (1996),8903,5.0
626,"Thin Line Between Love and Hate, A (1996)",5298,1.0
627,"Last Supper, The (1995)",15543,6.0
628,Primal Fear (1996),242419,35.0
631,All Dogs Go to Heaven 2 (1996),6564,11.0
632,Land and Freedom (Tierra y libertad) (1995),11947,1.0
633,Denise Calls Up (1995),1409,1.0
634,Theodore Rex (1995),4807,4.0
635,"Family Thing, A (1996)",4061,2.0
636,Frisk (1995),731,1.0
637,Sgt. Bilko (1996),23691,33.0
638,Jack and Sarah (1995),5521,1.0
639,Girl 6 (1996),6576,4.0
640,Diabolique (1996),15194,11.0
645,Nelly & Monsieur Arnaud (1995),5013,2.0
647,Courage Under Fire (1996),58823,29.0
648,Mission: Impossible (1996),464243,162.0
649,Cold Fever (Á köldum klaka) (1995),1880,1.0
650,Moll Flanders (1996),4473,4.0
653,Dragonheart (1996),101063,65.0
656,Eddie (1996),11360,5.0
661,James and the Giant Peach (1996),73237,49.0
662,Fear (1996),52778,7.0
663,Kids in the Hall: Brain Candy (1996),9405,12.0
665,Underground (1995),60695,3.0
667,Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996),3401,8.0
668,Song of the Little Road (Pather Panchali) (1955),37596,2.0
670,"World of Apu, The (Apur Sansar) (1959)",16395,2.0
671,Mystery Science Theater 3000: The Movie (1996),18823,36.0
673,Space Jam (1996),210440,53.0
674,Barbarella (1968),37218,9.0
678,Some Folks Call It a Sling Blade (1993),1769,9.0
679,"Run of the Country, The (1995)",443,1.0
680,"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",27208,4.0
685,It's My Party (1996),3192,2.0
688,Operation Dumbo Drop (1995),9632,9.0
691,Mrs. Winterbourne (1996),8387,3.0
692,Solo (1996),4512,4.0
694,"Substitute, The (1996)",15356,11.0
695,True Crime (1996),3012,2.0
697,Feeling Minnesota (1996),11479,5.0
698,Delta of Venus (1995),2333,1.0
700,Angus (1995),7062,7.0
703,Boys (1996),3812,2.0
704,"Quest, The (1996)",27726,7.0
706,Sunset Park (1996),1834,1.0
707,Mulholland Falls (1996),18727,21.0
708,"Truth About Cats & Dogs, The (1996)",28913,58.0
709,Oliver & Company (1988),52228,11.0
710,Celtic Pride (1996),10495,8.0
711,Flipper (1996),11568,10.0
714,Dead Man (1995),102097,15.0
715,"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",6335,3.0
718,"Visitors, The (Visiteurs, Les) (1993)",37458,4.0
719,Multiplicity (1996),34671,35.0
720,Wallace & Gromit: The Best of Aardman Animation (1996),43037,27.0
722,"Haunted World of Edward D. Wood Jr., The (1996)",479,1.0
724,"Craft, The (1996)",105810,31.0
725,"Great White Hype, The (1996)",10587,5.0
726,Last Dance (1996),4666,1.0
728,Cold Comfort Farm (1995),7380,10.0
731,Heaven's Prisoners (1996),5684,3.0
733,"Rock, The (1996)",354326,121.0
735,Cemetery Man (Dellamorte Dellamore) (1994),22764,7.0
736,Twister (1996),209487,123.0
737,Barb Wire (1996),30877,20.0
741,Ghost in the Shell (Kôkaku kidôtai) (1995),154014,27.0
742,Thinner (1996),33237,11.0
743,Spy Hard (1996),39990,29.0
745,Wallace & Gromit: A Close Shave (1995),43037,48.0
747,"Stupids, The (1996)",7094,3.0
748,"Arrival, The (1996)",37705,22.0
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),511918,97.0
757,Ashes of Time (Dung che sai duk) (1994),16683,1.0
759,Maya Lin: A Strong Clear Vision (1994),526,2.0
760,Stalingrad (1993),37254,2.0
761,"Phantom, The (1996)",35515,19.0
762,Striptease (1996),47602,41.0
764,Heavy (1995),5821,2.0
765,Jack (1996),63261,19.0
766,I Shot Andy Warhol (1996),7062,4.0
773,Touki Bouki (1973),3977,1.0
775,Spirits of the Dead (1968),6864,1.0
778,Trainspotting (1996),717227,102.0
779,'Til There Was You (1997),2983,2.0
780,Independence Day (a.k.a. ID4) (1996),599615,202.0
781,Stealing Beauty (1996),30092,7.0
782,"Fan, The (1996)",50867,8.0
783,"Hunchback of Notre Dame, The (1996)",169285,47.0
784,"Cable Guy, The (1996)",175751,54.0
785,Kingpin (1996),89975,42.0
786,Eraser (1996),117285,64.0
788,"Nutty Professor, The (1996)",122583,82.0
790,"Unforgettable Summer, An (Un été inoubliable) (1994)",1090,1.0
791,"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1994)",30,1.0
795,Somebody to Love (1994),794,2.0
798,Daylight (1996),76047,12.0
799,"Frighteners, The (1996)",94537,23.0
